method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_full,14,PCA_full,6,0.15481845285623766,0.018900764291475157,12826.005610041226,0.19754075168210092,0.38977919488932083,0.04029393196105957
PCA_full,14,PCA_full,7,0.18762552796202953,0.012088900178044372,12136.612482077862,0.2220071882775781,0.39379523294132945,0.04071164131164551
PCA_full,14,PCA_full,8,0.1915980872670003,0.02501620452328213,11236.51000351426,0.2220071882775781,0.39379523294132934,0.047966957092285156
PCA_full,15,PCA_full,2,0.20179312962819915,0.015488098254380994,18034.67735679592,0.20308538370888835,0.31648943994931755,0.03917956352233887
PCA_full,15,PCA_full,3,0.16320303474375825,0.025767685338861795,16571.18085106223,0.25670041691483025,0.4097041872085896,0.039373159408569336
PCA_full,15,PCA_full,4,0.151856918492977,0.024863789878896796,15356.250132374693,0.25275903746841005,0.40170674460513117,0.04317831993103027
PCA_full,15,PCA_full,5,0.15567537995437722,0.024863789878896796,14166.490630756569,0.25715564094803195,0.399146656644012,0.04615020751953125
PCA_full,15,PCA_full,6,0.16770418015515046,0.024863789878896796,13219.600965373143,0.25275903746841005,0.40170674460513117,0.03270912170410156
PCA_full,15,PCA_full,7,0.17382019573578006,0.022813554748191422,12521.921741048673,0.23454623889408605,0.4274884223092107,0.0378270149230957
PCA_full,15,PCA_full,8,0.17027158617890972,0.019025576274166876,11687.007519885565,0.24740270055599684,0.4376134274105623,0.03871726989746094
PCA_randomized,2,PCA_randomized,2,0.42418616038165163,0.005152918437722159,4135.464273771815,0.15287668957498496,0.23472391610326415,0.02374744415283203
PCA_randomized,2,PCA_randomized,3,0.42325283244912126,0.004313008619953419,3064.5022628800375,0.14726824109975326,0.26395689235724773,0.030219316482543945
PCA_randomized,2,PCA_randomized,4,0.38774855237953537,0.005532050869211737,2283.485902048673,0.14129083748740695,0.28950640611090295,0.030782222747802734
